User,Location,Review Date,Rating,Review Highlight,Review,Date of Experience
Jill Khoda,GB,11 hours ago,5,Karan is excellent.,Karan is excellent.. he resolved my issue very quickly. Really impressed and appreciate his support to retain my Lebara account . Thank you so much Karan you restored my faith in Lebara by your understanding of the situation. Lebara certainly can do more people like you to retain their clients. Thank you once again,"December 04, 2024"
Grace,GB,12 hours ago,5,I was so worried about a debit using my…,"I was so worried about a debit using my friends card, called the customer care and was referred to Rutuja. I saw the most amazing unique person who answered my questions to my understanding and was patient enough to listen to my complaints. This is me saying thank you to Rutuja for helping me out.","December 04, 2024"
Ben Thomas,GB,14 hours ago,5,Lost SIM help,Lost SIM helpI was helped by Raunak who quickly sorted a replacement SIM after the original failed to appear. Efficient & courteous. New SIM ordered by special delivery to arrive next working day,"December 04, 2024"
JONATHAN CULMER,GB,2 days ago,5,Sim Only Savings,"I switched over to Lebara as i saw their amazing black friday deals and it sounded too good to be true. Well it was true and the all round service is excellent. Absolutely faultless company who give some of the cheapest sim free deals but no drop in service. My signal is excellent,my data connection is excellent,the swap over of keeping my original number was straightforward. Can't say a bad word and i highly recommend Lebara Mobile of you want to save money and still have an excellent service","December 02, 2024"
MN,GB,2 days ago,5,Excellent service from Lebara!,Minimum delay in getting to speak with Lebara advisor. Person listened to my issue and gave me very clear information and advice.  Problem resolved without need for any further support.  A stand- out example of  what ‘ service’ should be.,"December 03, 2024"
Chard Hayward,GB,A day ago,5,excellent service,The add-on for the United States has never worked. Indrajeet explained that there are often problems with local carriers and he organised a refund for me. Both my wife and I are extremely pleased with the service we get from LEBARA when we are home in the UK. Indrajeet made the process very easy and I appreciate it. Thank you.,"December 03, 2024"
Prachi Dahiya,GB,2 days ago,5,I called Lebara services as i was…,I called Lebara services as i was facing some delinking issues with one of my number. So I was attended by Harshu in this regard. She provided me solutions more than my concerns. She was very polite through out the conversation.Many many thanks Harshu.,"December 03, 2024"
Richard Couch,GB,5 hours ago,5,Aarti is a fantastic asset to your team!,"Aarti Halande was absolutely brilliant! I had a complex issue involving a fault caused by another mobile provider and she was able to patiently listen, understand and resolve it quickly and in the way I was going for. This issue (caused by the other company) could have resulted in serious consequences, affecting my personal finances and relationships and I am overjoyed that she could resolve it so well - especially as this was my last ditch attempt to do so, having had five other people look into it and state that it couldn’t be done! Aarti Halande - thank you so much!","December 04, 2024"
Zamal Miah,GB,2 days ago,5,Brilliant customer service,"Had an awful experience with my phone being hacked. Received my replacement SIM today but still didn't work. Called up Lebara customer services. Didn't have to wait too long. Very nice, polite lovely lady named Aarti dealt with my problem and now I am back online. Thank you Aarti😊👍","December 02, 2024"
LEIGH,GB,10 hours ago,5,Telephone support was excellent but…,Telephone support was excellent but LEBARA need to put out instructions for iPhone users who transfer to them to help set their phones up properly. 1 out of 5 for the Lebara service.,"December 04, 2024"
